Jour;Heure;Poids
17/05/20;9h30;
17/05/20;9h39;99,1
17/05/20;10h02;99,7
17/05/20;10h25;99
17/05/20;10h56;99,2
17/05/20;11h41;99,3
17/05/20;12h30;98,8
17/05/20;;
17/05/20;13h15;99,2
17/05/20;15h50;99,7
17/05/20;17h;99,2
17/05/20;17h30;99,3
17/05/20;18h45;99,1
17/05/20;19h40;99
17/05/20;20h30;99,1
17/05/20;23h;100,3
18/05/20;7h30;
18/05/20;7h40;99,2
18/05/20;8h30;99,6
18/05/20;9h30;99
18/05/20;10h15;99,3
18/05/20;11h03;99,4
18/05/20;11h40;100,6
18/05/20;;
18/05/20;13h30;100,4
18/05/20;14h45;100,2
18/05/20;16h;100,3
18/05/20;17h40;100
18/05/20;;
18/05/20;18h50;100,4
18/05/20;;
18/05/20;23h;100,9
20/05/20;8h05;
20/05/20;8h30;99,4
20/05/20;9h17;99,1
20/05/20;10h02;99,3
20/05/20;10h28;99
20/05/20;11h;98,7
20/05/20;;
20/05/20;12h15;98,9
20/05/20;;
20/05/20;13h30;100,5
20/05/20;15h50;100
20/05/20;15h30;99,9
20/05/20;17h20;99,5
20/05/20;18h17;99,3
20/05/20;;
20/05/20;0h00;99,5
21/05/20;8h05;
21/05/20;8h24;98,4
21/05/20;9h30;98,7
21/05/20;11h20;98,6
21/05/20;13h30;98,6
21/05/20;13h40;
21/05/20;14h50;99,7
21/05/20;17h30;99,3
21/05/20;18h15;99,1
21/05/20;19h15;98,7
21/05/20;19h30;
21/05/20;20h20;98,9
21/05/20;21h;
21/05/20;21h50;100,2
21/05/20;23h30;100
22/05/20;7h55;
22/05/20;8h10;99,1
22/05/20;10h00;98,9
22/05/20;11h00;99,1
22/05/20;11h40;98,7
22/05/20;11h45;
22/05/20;12h30;99
22/05/20;13h40;
22/05/20;14h20;100,2
22/05/20;14h45;100
22/05/20;15h40;100
22/05/20;18h20;99,9
22/05/20;19h15;
22/05/20;20h;
22/05/20;21h;100,6
24/05/20;8h;
24/05/20;9h30;99,6
24/05/20;10h20;99,5
24/05/20;11h;99,4
24/05/20;11h30;
24/05/20;12h30;99
24/05/20;13h;
24/05/20;13h40;100,7
24/05/20;15h;100,2
24/05/20;17h10;100,7
24/05/20;17h30;
24/05/20;18h30;99,8
25/05/20;7h30;
25/05/20;9h20;
25/05/20;9h30;100,6
25/05/20;10h00;100,5
25/05/20;10h50;100,2
25/05/20;11h20;
25/05/20;13h00;100,2
25/05/20;13h30;
25/05/20;14h00;101
25/05/20;17h00;100,7
28/05/20;8h00;
28/05/20;9h20;99,7
28/05/20;11h00;
28/05/20;12h30;
28/05/20;13h30;100,9
29/05/20;8h00;
29/05/20;8h30;99,3
29/05/20;10h10;99,2
02/06/20;7h30;
02/06/20;7h45;99,2
02/06/20;8h00;
02/06/20;9h25;99,9
02/06/20;10h00;
02/06/20;10h30;100,2
